split,tile_id,dataset,biome,image_path,dsm_path,width,height,crs
train,2_10,potsdam,urban,data/potsdam_raw/2_Ortho_RGB/top_potsdam_2_10_RGB.tif,data/potsdam_raw/1_DSM/dsm_potsdam_02_10.tif,6000,6000,EPSG:32633
train,2_13,potsdam,urban,data/potsdam_raw/2_Ortho_RGB/top_potsdam_2_13_RGB.tif,data/potsdam_raw/1_DSM/dsm_potsdam_02_13.tif,6000,6000,EPSG:32633
train,2_14,potsdam,urban,data/potsdam_raw/2_Ortho_RGB/top_potsdam_2_14_RGB.tif,data/potsdam_raw/1_DSM/dsm_potsdam_02_14.tif,6000,6000,EPSG:32633
train,3_10,potsdam,urban,data/potsdam_raw/2_Ortho_RGB/top_potsdam_3_10_RGB.tif,data/potsdam_raw/1_DSM/dsm_potsdam_03_10.tif,6000,6000,EPSG:32633
train,3_14,potsdam,urban,data/potsdam_raw/2_Ortho_RGB/top_potsdam_3_14_RGB.tif,data/potsdam_raw/1_DSM/dsm_potsdam_03_14.tif,6000,6000,EPSG:32633
train,4_10,potsdam,urban,data/potsdam_raw/2_Ortho_RGB/top_potsdam_4_10_RGB.tif,data/potsdam_raw/1_DSM/dsm_potsdam_04_10.tif,6000,6000,EPSG:32633
train,4_11,potsdam,urban,data/potsdam_raw/2_Ortho_RGB/top_potsdam_4_11_RGB.tif,data/potsdam_raw/1_DSM/dsm_potsdam_04_11.tif,6000,6000,EPSG:32633
train,4_12,potsdam,urban,data/potsdam_raw/2_Ortho_RGB/top_potsdam_4_12_RGB.tif,data/potsdam_raw/1_DSM/dsm_potsdam_04_12.tif,6000,6000,EPSG:32633
train,4_13,potsdam,urban,data/potsdam_raw/2_Ortho_RGB/top_potsdam_4_13_RGB.tif,data/potsdam_raw/1_DSM/dsm_potsdam_04_13.tif,6000,6000,EPSG:32633
train,5_10,potsdam,urban,data/potsdam_raw/2_Ortho_RGB/top_potsdam_5_10_RGB.tif,data/potsdam_raw/1_DSM/dsm_potsdam_05_10.tif,6000,6000,EPSG:32633
train,5_12,potsdam,urban,data/potsdam_raw/2_Ortho_RGB/top_potsdam_5_12_RGB.tif,data/potsdam_raw/1_DSM/dsm_potsdam_05_12.tif,6000,6000,EPSG:32633
train,5_13,potsdam,urban,data/potsdam_raw/2_Ortho_RGB/top_potsdam_5_13_RGB.tif,data/potsdam_raw/1_DSM/dsm_potsdam_05_13.tif,6000,6000,EPSG:32633
train,5_14,potsdam,urban,data/potsdam_raw/2_Ortho_RGB/top_potsdam_5_14_RGB.tif,data/potsdam_raw/1_DSM/dsm_potsdam_05_14.tif,6000,6000,EPSG:32633
train,6_10,potsdam,urban,data/potsdam_raw/2_Ortho_RGB/top_potsdam_6_10_RGB.tif,data/potsdam_raw/1_DSM/dsm_potsdam_06_10.tif,6000,6000,EPSG:32633
train,6_11,potsdam,urban,data/potsdam_raw/2_Ortho_RGB/top_potsdam_6_11_RGB.tif,data/potsdam_raw/1_DSM/dsm_potsdam_06_11.tif,6000,6000,EPSG:32633
train,6_12,potsdam,urban,data/potsdam_raw/2_Ortho_RGB/top_potsdam_6_12_RGB.tif,data/potsdam_raw/1_DSM/dsm_potsdam_06_12.tif,6000,6000,EPSG:32633
